invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I602276,40,Male,70,Stationery,3,2499.05,Cash,10-17-2023,Forum Istanbul
I804025,8,Female,66,Healthcare,8,325.62,Debit Card,07-02-2023,Metrocity
I016525,6,Female,45,Grocery,2,1817.69,Credit Card,05-30-2023,Emaar Square Mall
I808631,16,Female,70,Kitchenware,4,1289.23,Cash,04-29-2022,Cevahir Mall
I930086,80,Male,50,Stationery,6,393.55,Credit Card,02-15-2024,Cevahir Mall
I875935,63,Female,79,Books,4,1596.55,Credit Card,03-25-2024,Forum Istanbul
I868570,98,Male,66,Clothing,1,1133.98,Credit Card,09-01-2023,Viaport Outlet
I220212,94,Male,30,Home Appliances,6,2603.49,Credit Card,09-11-2023,Emaar Square Mall
I633229,16,Female,70,Books,8,1358.06,Debit Card,02-08-2024,Akasya Acıbadem
I661713,9,Female,22,Jewelry,10,2540.01,Debit Card,02-05-2024,Cevahir Mall
I965687,62,Female,54,Stationery,10,875.44,Cash,06-25-2022,Viaport Outlet
I203229,65,Male,22,Kitchenware,1,2080.97,Debit Card,01-22-2023,Kanyon
I836394,32,Male,55,Shoes,9,1151.61,Credit Card,04-20-2023,Istanbul Sapphire
I225258,25,Female,67,Toys,8,1056.49,Credit Card,01-01-2023,Emaar Square Mall
I329500,52,Female,59,Electronics,2,1769.99,Debit Card,10-04-2022,Forum Istanbul
I167403,90,Male,61,Books,5,2625.22,Cash,05-14-2022,Forum Istanbul
I959807,54,Male,18,Kitchenware,2,58.86,Credit Card,05-21-2023,Istinye Park
I652614,36,Female,46,Grocery,9,1675.05,Credit Card,10-05-2022,Istinye Park
I498251,61,Male,64,Jewelry,6,2275.54,Cash,11-21-2023,Metropol AVM
I982661,67,Female,19,Healthcare,4,362.12,Cash,05-30-2022,Viaport Outlet
I757503,6,Male,30,Jewelry,4,547.14,Cash,07-02-2022,Metropol AVM
I098830,67,Male,63,Furniture,10,228.47,Debit Card,06-08-2023,Cevahir Mall
I890407,44,Male,47,Home Appliances,10,1858.56,Debit Card,03-10-2023,Capacity
I714528,67,Female,52,Books,4,1894.96,Cash,10-04-2022,Akasya Acıbadem
I425723,58,Female,68,Books,2,821.44,Cash,04-06-2024,Metrocity
I964512,34,Male,53,Beauty,3,1041.2,Cash,12-02-2023,Marmara Forum
I352206,44,Female,44,Garden Supplies,9,1187.33,Cash,04-27-2022,Kanyon
I298026,19,Male,53,Books,8,2011.84,Credit Card,09-01-2023,Capacity
I219547,6,Female,51,Shoes,4,1259.23,Cash,04-08-2023,Mall of Istanbul
I810444,98,Female,41,Jewelry,6,174.02,Debit Card,10-28-2023,Zorlu Center
